CYQU,6200,200,ASP,1,7,25
CYQU,6500,200,ASP,1,12,30
CYQV,4800,150,ASP,1,3,21
CYQV,3000,100,COM,1,12,30
CYQW,2565,50,ASP,0,6,24
CYQW,5000,150,ASP,1,12,30
CYQX,10200,200,ASP,1,3,21
CYQX,1875,50,ASP,0,9,27
CYQX,8900,200,ASP,1,13,31
CYQY,6000,150,ASP,1,1,19
CYQY,7070,200,ASP,1,7,25
CYQZ,5500,200,ASP,1,13,31
CYRB,6500,200,GVL,1,17T,35T
CYRI,6000,150,ASP,1,5,23
CYRJ,5000,150,ASP,1,16,34
CYRL,5000,150,ASP,1,8,26
CYRM,5500,100,ASP,1,13,31
CYRS,3000,85,CRUSHED ROCK,,8,26
CYRT,6000,150,ASP,1,13T,31T
CYRV,4800,75,ASP,0,12,30
CYSB,6600,200,ASP,1,4,22
CYSB,5000,150,ASP,1,12,30
CYSC,6000,150,ASP,1,13,31
CYSC,6000,150,ASPH,,14,32
CYSF,5050,100,TREATED GRAVEL,,6,24
CYSJ,7000,200,ASP,1,5,23
CYSJ,5100,200,ASP,1,14,32
CYSK,3800,,UNK,,9,27
CYSM,1800,100,COM,1,2,20
CYSM,6000,200,ASP,1,11,29
CYSP,3933,100,ASP,1,16,34
CYSR,6400,150,GVL,1,11T,29T
CYST,3400,75,CRUSHED ROCK,,4,22
CYSU,8000,200,ASP,1,6,24
CYSU,5300,150,ASP,0,12,30
CYSU,5460,150,ASP,0,18,36
CYSY,4000,100,GVL,1,08T,26T
CYTA,5000,100,ASP,1,17,35
CYTE,4000,100,GVL,1,13T,31T
CYTF,4300,100,ASP,1,13,31
CYTH,5800,150,ASP,1,5,23
CYTH,2500,100,GVL,1,14,32
CYTL,3900,100,GRVL,,14,32
CYTQ,3519,100,GRAVEL,,6,24
CYTR,10000,200,ASP,1,6,24
CYTR,3025,150,ASP,1,13,31
CYTS,6000,150,ASP,1,3,21
CYTS,4903,150,ASP,1,10,28
CYTZ,2933,150,ASP,,6,24
CYTZ,3988,150,ASP,1,8,26
CYTZ,2780,150,ASP,,15,33
CYUB,5000,150,GVL,1,9,27
CYUL,11000,200,ASP,1,06L,24R
CYUL,9600,200,ASP,1,06R,24L
CYUL,7000,200,ASP,1,10,28
CYUT,3400,100,GVL,1,16T,34T
CYUX,5420,150,GVL,1,12T,30T
CYUY,7485,150,ASP,1,8,26
CYVB,5985,150,ASP,1,13,31
CYVC,2350,50,GVL,0,10,28
CYVC,5000,150,ASP,1,18,36
CYVG,3300,75,ASP,1,10,28
CYVM,3800,100,GVL,1,03T,21T
CYVO,10000,150,ASP,1,18,36
CYVP,6000,150,ASP,1,7,25
CYVP,5000,150,GVL,1,13,31
CYVQ,5997,150,ASP,1,9,27
CYVR,9940,200,CON,1,08L,26R
CYVR,11500,200,ASP,1,08R,26L
CYVR,7300,200,CON,1,12,30
CYVR,3500,75,CON,,XX,26A
CYVT,2297,75,ASP,1,6,24
CYVT,5006,100,ASP,1,11,29
CYVV,5021,150,ASP,1,5,23
CYVV,3100,100,GVL,0,11,29
CYVZ,3500,100,GRVL,,13,31
CYWA,3800,75,GRS,0,17,35
CYWG,4500,200,ASP,0,7,25
CYWG,8700,200,ASP,1,13,31
CYWG,11000,200,ASP,1,18,36
CYWJ,3933,,UNK,,7,25
CYWK,6002,150,ASP,1,18,36
CYWL,7000,150,ASP,1,11,29
CYWP,3500,100,GRVL,,2,20
CYWY,3500,100,GVL,1,11,29
CYXC,6000,150,ASP,1,16,34
CYXD,5870,200,ASP,1,12,30
CYXD,5700,200,ASP,1,16,34
CYXE,8300,200,ASP,1,9,27
CYXE,6200,150,ASP,1,15,33
CYXH,5000,150,ASP,1,3,21
CYXH,2820,100,ASP,1,9,27
CYXJ,6700,200,ASP,1,2,20
CYXJ,6900,150,ASP,1,11,29
CYXK,4600,150,ASP,1,7,25
CYXL,2200,50,GVL,0,3,21
CYXL,5300,100,ASP,1,16,34
CYXN,4000,,UNK,,15T,33T
CYXP,2920,100,GVL,1,06T,24T
CYXR,5998,150,ASP,1,8,26
CYXR,3019,150,GVL,1,16,34
CYXS,3769,75,ASP,,1,19
CYXS,5628,150,ASP,1,6,24
CYXS,11450,150,ASP,1,15,33
CYXT,5373,150,ASP,0,3,21
CYXT,7497,150,ASP,1,15,33
CYXU,6300,200,ASP,1,9,27
CYXU,8800,200,ASP,1,15,33
CYXX,5328,200,ASP,1,1,19
CYXX,1500,100,GRS,1,01L,19R
CYXX,9600,200,PEM,1,7,25
CYXY,2075,75,ASP,0,1,19
CYXY,4000,80,ASP,0,13L,31R
CYXY,9497,150,ASP,1,13R,31L
CYXZ,4429,100,ASP,1,3,21
CYYB,10000,200,ASP,1,8,26
CYYB,2500,75,GRS,0,13,31
CYYB,4474,150,ASP,1,18,36
CYYC,6200,150,ASP,1,7,25
CYYC,8000,200,ASP,1,10,28
CYYC,12675,200,ASP,1,16,34
CYYD,5000,150,ASP,1,15,33
CYYE,6400,200,ASP,1,3,21
CYYE,4068,77,ASP,0,7,25
CYYE,,,UNK,,8,26
CYYF,6000,148,ASP,1,16,34
CYYG,7000,150,ASP,1,3,21
CYYG,5000,200,ASP,1,10,28
CYYH,4020,100,GVL,1,15T,33T
CYYJ,5026,200,ASP,1,2,20
CYYJ,7000,200,ASP,1,9,27
CYYJ,5003,200,ASP,1,13,31
CYYL,2520,80,GVL,0,8,26
CYYL,5000,150,ASP,1,17,35
CYYN,2500,50,ASP,1,4,22
CYYN,4250,150,ASP,1,12,30
CYYQ,4000,100,GVL,1,7,25
CYYQ,9200,160,ASP,1,15,33
CYYR,11046,209,ASP,1,8,26
CYYR,9580,200,ASP,1,16,34
CYYT,5028,100,ASP,1,2,20
CYYT,8502,200,ASP,1,11,29
CYYT,7005,200,ASP,1,16,34
CYYU,3590,75,ASP,,10,28
CYYU,5500,100,ASP,1,17,35
CYYW,4000,100,ASP,1,12,30
CYYW,2940,100,ASP,0,18,36
CYYY,6000,150,ASP,1,6,24
CYYY,3934,150,ASP,1,15,33
CYYZ,11120,200,PEM,1,5,23
CYYZ,9697,200,ASP,1,06L,24R
CYYZ,9000,200,ASP,1,06R,24L
CYYZ,11050,200,ASP,1,15L,33R
CYYZ,9088,200,ASP,1,15R,33L
CYZD,3164,150,ASP,0,9,27
CYZD,7003,200,ASP,1,15,33
CYZE,4900,100,ASP,1,11,29
CYZF,5000,150,ASP,1,10,28
CYZF,7500,150,ASP,1,16,34
CYZG,3500,,UNK,,4,22
CYZH,5561,100,ASP,1,10,28
CYZP,5120,150,ASP,1,12,30
CYZR,2989,75,ASP,0,5,23
CYZR,5100,100,ASP,1,14,32
CYZT,4000,150,ASP,1,7,25
CYZT,5000,150,ASP,1,11,29
CYZT,4000,150,ASP,0,16,34
CYZU,5800,100,ASP,1,11,29
CYZV,5900,200,ASP,0,5,23
CYZV,6552,150,ASP,1,9,27
CYZV,5771,200,ASP,1,13,31
CYZW,5000,100,GVL,1,8,26
CYZX,8000,200,ASP,1,8,26
CYZX,8000,200,ASP,1,12,30
CYZY,5000,100,ASP,1,16,34
CZAC,3395,85,CRUSHED ROCK,,10,28
CZBA,2145,100,Turf,,9,27
CZBA,3763,75,Asphalt/Turf,1,14,32
CZBB,4865,75,ASP,0,3,21
CZBB,5606,100,ASP,1,7,25
CZBB,3755,100,ASP,1,12,30
CZBD,3000,75,CRUSHED ROCK,,9,27
CZBF,4500,100,ASP,1,10,28
CZEM,3510,100,GRAVEL,,2,20
CZFA,4000,100,GVL,1,9,27
